longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
4.3848205,50.8122615,Rent,1350,Appartment,Flat,46535,1050,Normal,90,1,1,True,23,False,Brussels,Avenue Adolphe Buyl,155,,,,,,,,
4.4106993,50.822803,Rent,1200,Appartment,Flat,40587,1160,Normal,84,2,1,,2,False,Brussels,Avenue Thomas Frissen,1,1962,Immediately,,,,,,
4.388698,50.8590375,Rent,1100,Appartment,Flat,27466,1030,Fully renovated,100,1,1,True,,False,Brussels,Avenue Jan Stobbaerts,88,1970,Immediately,26570,,,,,
4.3472595,50.8559857,Rent,1250,Appartment,Flat,46453,1000,Excellent,50,1,1,True,2,True,Brussels,Quai du Commerce,8,1934,Immediately,,True,,,,
4.3619341,50.8168767,Rent,5000,House,MasterHouse,39656,1050,Excellent,278,5,3,False,17,False,Brussels,Rue Jules Lejeune,42,1927,Immediately,118079,,195,70,,
4.3008967,50.8740942,Rent,3300,House,House,39656,1083,Excellent,225,4,2,False,12,True,Brussels,Venelle Vivaldi,20,2001,Immediately,30212,,8873,20,1,
4.3658967,50.8379318,Rent,1650,Appartment,Duplex,48162,1050,Excellent,97,2,2,True,32,False,Brussels,Rue de Naples,37,,Immediately,16885,,,,,
4.3567123,50.811803,Rent,1650,Appartment,Flat,40457,1180,Fully renovated,129,3,2,True,4,False,Brussels,Avenue Winston Churchill,138,,,26572,,,,,
4.37479,50.8276014,Rent,950,Appartment,Flat,39290,1050,,35,,,,,,Brussels,"Rue du Serpentin,23 Elsene",,,From 01/06/2026,,,,,,
4.3890002,50.8553674,Rent,850,Appartment,Flat,33417,1030,Fully renovated,50,1,1,False,,False,Brussels,Rue Joseph Coosemans,94,,Immediately,,,,,,
4.3193694,50.8569755,Rent,1200,Appartment,Flat,38140,1080,Normal,100,2,1,True,,,Brussels,,,1968,,,,,,1,
4.313739,50.8918916,Rent,1190,Appartment,Flat,40587,1090,Normal,78,2,1,,8,False,Brussels,Avenue du Bourgmestre Etienne Demunter,19,2012,,,,,,,
4.395797,50.8595943,Rent,925,Appartment,FlatStudio,33417,1030,Fully renovated,50,0,1,True,,True,Brussels,Boulevard Général Wahis,22,,Immediately,,,,,,
4.3330787,50.7842296,Rent,1630,Appartment,Penthouse,42479,1180,New,98,2,2,True,25,False,Brussels,Rue des Bigarreaux,11,2019,,612,True,,,,
4.3735693,50.8160683,Rent,2200,Appartment,Flat,42479,1050,Fully renovated,113,2,1,True,9,True,Brussels,Boulevard de la Cambre,45,1915,,10709,,,,,
4.2897901,50.8687135,Rent,1025,Appartment,Flat,28097,1082,Excellent,60,1,1,True,7,,Brussels,Parc Jean Monnet - Jean Monnetpark,1063,,,,,,,,
4.3576323,50.8059507,Rent,1050,Appartment,Flat,47577,1180,Normal,65,1,1,False,,False,Brussels,Rue Zeecrabbe,85,,,,,,,,
4.3673543,50.8122175,Rent,1850,Appartment,Flat,45177,1180,Excellent,140,3,1,True,13,False,Brussels,Avenue Winston Churchill,246,1970,,27217,,,,1,
4.398949,50.87441226,Rent,2450,House,Villa,43099,1140,Normal,211,3,2,False,10,False,Brussels,Rue Jacques Ballings,34,,From 01/08/2026,,,,60,1,
4.3857974,50.8351558,Rent,2500,House,House,39656,1040,Fully renovated,180,3,2,False,,False,Brussels,Rue Richard Kips,28,1890,Immediately,40332,,120,45,,
4.358651,50.8329628,Rent,2450,Appartment,Flat,45787,1050,,,3,2,False,6,,Brussels,Avenue Louise,64,,From 01/07/2026,,False,,,,
4.37835821,50.8645588,Rent,1200,Appartment,Flat,40044,1030,,83,2,1,False,,False,Brussels,Rue Teniers,19,1903,From 19/06/2026,,,,,,
4.339671,50.80795,Rent,1200,Appartment,Flat,43099,1180,Normal,75,1,1,False,3,False,Brussels,Avenue Coghen,153,1938,,,,,,,
4.3547963,50.7973526,Rent,1200,Appartment,Flat,40457,1180,Normal,95,2,1,True,12,False,Brussels,Avenue Circulaire,144,,,19457,,,,1,
4.3766927,50.8235717,Rent,2650,Appartment,Flat,37194,1050,Normal,161,2,1,True,,False,Brussels,,,,,,,,,,
